,body
0,"{'neg': 0.194, 'neu': 0.667, 'pos': 0.139, 'compound': -0.5859}"
1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"{'neg': 0.137, 'neu': 0.753, 'pos': 0.109, 'compound': -0.128}"
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4927}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.125, 'neu': 0.606, 'pos': 0.269, 'compound': 0.8257}"
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.4939}"
10,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6369}"
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"{'neg': 0.169, 'neu': 0.744, 'pos': 0.086, 'compound': -0.4201}"
13,"{'neg': 0.1, 'neu': 0.733, 'pos': 0.167, 'compound': 0.25}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5719}"
16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,"{'neg': 0.191, 'neu': 0.461, 'pos': 0.349, 'compound': 0.34}"
18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.7964}"
21,"{'neg': 0.082, 'neu': 0.818, 'pos': 0.1, 'compound': 0.128}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.34}"
27,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}"
28,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.7003}"
29,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.4926}"
30,"{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.6908}"
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
34,"{'neg': 0.078, 'neu': 0.782, 'pos': 0.14, 'compound': 0.2732}"
35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
37,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}"
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}"
40,"{'neg': 0.061, 'neu': 0.83, 'pos': 0.109, 'compound': 0.2732}"
41,"{'neg': 0.086, 'neu': 0.855, 'pos': 0.059, 'compound': -0.1779}"
42,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.7003}"
43,"{'neg': 0.077, 'neu': 0.768, 'pos': 0.155, 'compound': 0.4118}"
44,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.2263}"
45,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.4696}"
46,"{'neg': 0.093, 'neu': 0.728, 'pos': 0.179, 'compound': 0.3182}"
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.3818}"
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
51,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
52,"{'neg': 0.162, 'neu': 0.743, 'pos': 0.095, 'compound': -0.25}"
53,"{'neg': 0.144, 'neu': 0.556, 'pos': 0.3, 'compound': 0.4215}"
54,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.7901}"
61,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,"{'neg': 0.107, 'neu': 0.791, 'pos': 0.102, 'compound': -0.0258}"
64,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2023}"
65,"{'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.3382}"
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,"{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.2023}"
71,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}"
72,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}"
73,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.4995}"
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}"
78,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.7531}"
79,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5859}"
80,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.1779}"
81,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}"
82,"{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.8176}"
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8885}"
85,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.6514}"
87,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
89,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,"{'neg': 0.066, 'neu': 0.818, 'pos': 0.116, 'compound': 0.3736}"
94,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.6597}"
95,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.5423}"
99,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.7034}"
