<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AMZN,60,20150102,180000,312.5800000,314.7500000,312.1100000,313.5200000,404201
US1.AMZN,60,20150102,190000,313.2500000,313.5900000,308.6300000,308.9600000,509208
US1.AMZN,60,20150102,200000,308.8400000,310.1200000,306.9601000,309.7500000,427854
US1.AMZN,60,20150102,210000,309.7700000,309.9300000,308.0500000,308.4000000,209933
US1.AMZN,60,20150102,220000,308.4100000,308.4800000,307.2500000,308.3500000,158209
US1.AMZN,60,20150102,230000,308.2100000,308.6600000,307.7200000,308.0200000,187600
US1.AMZN,60,20150103,000000,308.0300000,309.3200000,307.4950000,308.5200000,341388
US1.AMZN,60,20150105,180000,307.0100000,308.3800000,303.1500000,303.8300000,317745
US1.AMZN,60,20150105,190000,303.5900000,305.3500000,302.7119000,303.2900000,383604
US1.AMZN,60,20150105,200000,303.2200000,304.4500000,302.7400000,303.0600000,247073
US1.AMZN,60,20150105,210000,303.0600000,303.4000000,301.2600000,301.6100000,223287
US1.AMZN,60,20150105,220000,301.7000000,303.1900000,300.9100000,303.0299000,255668
US1.AMZN,60,20150105,230000,302.9100000,302.9200000,300.8500000,301.6900000,223530
US1.AMZN,60,20150106,000000,301.5500000,302.9800000,301.2100000,302.1000000,422305
US1.AMZN,60,20150106,180000,302.2400000,303.0000000,299.1300000,299.9700000,303907
US1.AMZN,60,20150106,190000,299.9700000,302.3900000,298.1500000,298.7000000,455164
US1.AMZN,60,20150106,200000,298.6350000,299.0500000,294.2200000,295.9640000,472721
US1.AMZN,60,20150106,210000,295.9800000,295.9800000,294.2800000,295.7500000,298426
US1.AMZN,60,20150106,220000,295.7600000,295.8270000,292.3800000,294.2290000,314621
US1.AMZN,60,20150106,230000,294.3000000,298.1200000,294.1300000,297.2675000,438609
US1.AMZN,60,20150107,000000,297.2900000,298.8800000,295.2400000,295.2900000,538679
US1.AMZN,60,20150107,180000,297.5000000,299.8000000,295.3300000,299.6400000,426731
US1.AMZN,60,20150107,190000,299.7000000,300.8200000,298.1850000,300.2900000,468146
US1.AMZN,60,20150107,200000,300.1400000,300.7000000,298.5200000,299.9300000,203588
US1.AMZN,60,20150107,210000,299.9600000,301.2800000,298.8000000,298.8593000,251754
US1.AMZN,60,20150107,220000,298.9800000,299.7200000,296.9300000,298.7000000,240513
US1.AMZN,60,20150107,230000,298.8900000,299.2300000,296.7800000,296.9600000,152422
US1.AMZN,60,20150108,000000,297.0100000,298.6700000,296.9800000,298.4200000,315162
US1.AMZN,60,20150108,180000,300.3200000,300.5900000,296.1100000,297.4600000,341697
US1.AMZN,60,20150108,190000,297.2000000,301.7994000,296.9000000,301.7600000,535390
US1.AMZN,60,20150108,200000,301.7600000,302.3800000,300.4300000,300.9120000,237201
US1.AMZN,60,20150108,210000,300.9299000,302.6400000,300.4700000,302.2901000,209395
US1.AMZN,60,20150108,220000,302.2500000,303.1400000,301.8200000,301.9100000,165624
US1.AMZN,60,20150108,230000,301.9000000,302.0000000,300.5500000,300.5500000,247376
US1.AMZN,60,20150109,000000,300.5530000,301.0600000,299.7200000,300.4600000,672383
US1.AMZN,60,20150109,180000,301.3500000,302.8700000,300.1800000,301.0000000,324006
US1.AMZN,60,20150109,190000,300.7600000,302.4900000,298.6400000,298.9100000,327610
US1.AMZN,60,20150109,200000,298.7200000,299.6500000,297.2700000,299.5500000,232126
US1.AMZN,60,20150109,210000,299.4800000,299.9900000,298.8200000,298.9050000,188357
US1.AMZN,60,20150109,220000,298.8700000,299.2200000,298.2400000,298.2400000,185301
US1.AMZN,60,20150109,230000,298.2100000,298.6400000,297.5800000,297.6400000,230481
US1.AMZN,60,20150110,000000,297.6700000,298.6400000,296.6800000,296.9300000,564071
US1.AMZN,60,20150112,180000,297.5600000,298.5100000,289.2810000,290.4200000,503065
US1.AMZN,60,20150112,190000,290.4080000,293.5000000,289.9900000,293.1100000,545423
US1.AMZN,60,20150112,200000,293.1500000,293.6400000,290.2700000,290.5600000,319110
US1.AMZN,60,20150112,210000,290.6600000,292.4500000,290.6150000,291.9000000,242630
US1.AMZN,60,20150112,220000,291.8250000,292.1200000,291.0300000,291.3000000,198065
US1.AMZN,60,20150112,230000,291.3700000,292.2000000,290.4000000,290.7200000,247653
US1.AMZN,60,20150113,000000,290.7500000,291.9890000,290.0200000,291.4000000,595929
US1.AMZN,60,20150113,180000,297.8900000,298.7500000,296.6890000,297.7100000,602511
US1.AMZN,60,20150113,190000,297.7000000,301.4200000,297.3500000,301.4000000,756342
US1.AMZN,60,20150113,200000,301.4300000,301.4976000,299.7400000,300.0100000,368336
US1.AMZN,60,20150113,210000,300.0000000,300.1500000,298.0500000,298.8600000,287876
US1.AMZN,60,20150113,220000,298.8525000,299.6300000,294.9000000,295.6899000,374901
US1.AMZN,60,20150113,230000,295.5550000,295.8700000,293.2300000,293.9700000,388315
US1.AMZN,60,20150114,000000,294.0400000,295.9000000,293.5000000,294.7300000,515943
US1.AMZN,60,20150114,180000,292.5800000,295.9100000,290.5300000,291.0800000,500146
US1.AMZN,60,20150114,190000,291.0992000,291.6600000,286.5500000,287.9000000,1243152
US1.AMZN,60,20150114,200000,287.9000000,288.6300000,286.5030000,288.1600000,505528
US1.AMZN,60,20150114,210000,288.0500000,289.0400000,287.2130000,288.5444000,376018
US1.AMZN,60,20150114,220000,288.5300000,289.2400000,287.7100000,288.5400000,374926
US1.AMZN,60,20150114,230000,288.5806000,292.9100000,288.3600000,291.6600000,612508
US1.AMZN,60,20150115,000000,291.5500000,294.4800000,291.5100000,293.2600000,917320
US1.AMZN,60,20150115,180000,294.0000000,295.9995000,290.4200000,291.1700000,559223
US1.AMZN,60,20150115,190000,290.9500000,292.2700000,289.6400000,290.0000000,532710
US1.AMZN,60,20150115,200000,289.9900000,290.8000000,289.1000000,289.6100000,302076
US1.AMZN,60,20150115,210000,289.6100000,290.2600000,288.0000000,288.2800000,310722
US1.AMZN,60,20150115,220000,288.2900000,289.3600000,287.6400000,287.6500000,321372
US1.AMZN,60,20150115,230000,287.7900000,288.9500000,287.1900000,288.6410000,373660
US1.AMZN,60,20150116,000000,288.6200000,288.8700000,286.8150000,286.9550000,702330
US1.AMZN,60,20150116,180000,286.2800000,289.8400000,285.2500000,287.7700000,527256
US1.AMZN,60,20150116,190000,287.9900000,289.6800000,287.2000000,288.9500000,400080
US1.AMZN,60,20150116,200000,288.8500000,289.5340000,287.4900000,287.5600000,218578
US1.AMZN,60,20150116,210000,287.6500000,289.2500000,286.9000000,288.7400000,246831
US1.AMZN,60,20150116,220000,288.8300000,289.6190000,287.8500000,289.2400000,218694
US1.AMZN,60,20150116,230000,289.2900000,289.4500000,287.8500000,288.4000000,253235
US1.AMZN,60,20150117,000000,288.3600000,290.7900000,288.0901000,290.2100000,845781
US1.AMZN,60,20150120,180000,292.5900000,293.3599000,289.1200000,289.5601000,455738
US1.AMZN,60,20150120,190000,289.5652000,290.3200000,288.1400000,288.6600000,443979
US1.AMZN,60,20150120,200000,288.5700000,288.6376000,286.3900000,287.2100000,446215
US1.AMZN,60,20150120,210000,287.1300000,289.0599000,287.0200000,288.7100000,235826
US1.AMZN,60,20150120,220000,288.6500000,289.4800000,287.7700000,288.8000000,150125
US1.AMZN,60,20150120,230000,288.8500000,290.3700000,288.3500000,290.3700000,270272
US1.AMZN,60,20150121,000000,290.3400000,290.4200000,289.1200000,289.5400000,435552
US1.AMZN,60,20150121,180000,289.6400000,291.7900000,287.2600000,291.2800000,555711
US1.AMZN,60,20150121,190000,291.3100000,304.2900000,290.4500000,302.2900000,2309149
