<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,60,20150102,180000,111.3900000,111.4400000,108.6500000,109.5000000,9886884
US1.AAPL,60,20150102,190000,109.4900000,109.7100000,107.3500000,108.2850000,12628997
US1.AAPL,60,20150102,200000,108.2900000,108.7900000,107.8500000,108.7761000,6291776
US1.AAPL,60,20150102,210000,108.7700000,109.5900000,108.7550000,109.3550000,5049924
US1.AAPL,60,20150102,220000,109.3550000,109.4700000,108.7500000,108.9900000,3663606
US1.AAPL,60,20150102,230000,108.9950000,109.3800000,108.9000000,109.0800000,3071880
US1.AAPL,60,20150103,000000,109.0800000,109.5240000,108.6900000,109.3000000,6452430
US1.AAPL,60,20150105,180000,108.2900000,108.6500000,107.4100000,107.5746000,7957798
US1.AAPL,60,20150105,190000,107.5700000,108.1900000,107.3300000,107.4200000,7674767
US1.AAPL,60,20150105,200000,107.4250000,107.5300000,106.5500000,106.8733000,8600950
US1.AAPL,60,20150105,210000,106.8700000,106.9800000,106.4400000,106.6750000,5008046
US1.AAPL,60,20150105,220000,106.6700000,106.7500000,106.3000000,106.4035000,4156280
US1.AAPL,60,20150105,230000,106.4000000,106.5200000,105.4100000,105.6350000,7477541
US1.AAPL,60,20150106,000000,105.6300000,106.5300000,105.5200000,106.2500000,9271241
US1.AAPL,60,20150106,180000,106.5600000,106.7600000,105.2800000,105.6300000,7044454
US1.AAPL,60,20150106,190000,105.6300000,107.2000000,105.5000000,106.1000000,10272013
US1.AAPL,60,20150106,200000,106.0900000,106.1530000,104.6300000,105.2900000,8822948
US1.AAPL,60,20150106,210000,105.2900000,106.3800000,104.8710000,106.3299000,7368301
US1.AAPL,60,20150106,220000,106.3200000,106.4300000,105.1300000,106.4100000,6117208
US1.AAPL,60,20150106,230000,106.4100000,107.0500000,105.8400000,106.8200000,8194515
US1.AAPL,60,20150107,000000,106.8100000,107.4300000,106.0500000,106.2300000,11622101
US1.AAPL,60,20150107,180000,107.2000000,107.9300000,106.6950000,107.8399000,6870739
US1.AAPL,60,20150107,190000,107.8300000,108.2000000,107.2800000,107.8400000,7218168
US1.AAPL,60,20150107,200000,107.8400000,108.0500000,107.1100000,107.9565000,4948078
US1.AAPL,60,20150107,210000,107.9600000,108.1000000,107.6400000,107.7800000,3587865
US1.AAPL,60,20150107,220000,107.7900000,107.9600000,107.3500000,107.8000000,2887405
US1.AAPL,60,20150107,230000,107.8050000,107.9600000,107.3600000,107.4500000,3730621
US1.AAPL,60,20150108,000000,107.4500000,107.8700000,107.3800000,107.7500000,5209532
US1.AAPL,60,20150108,180000,109.2300000,109.8900000,108.7000000,109.8500000,7382999
US1.AAPL,60,20150108,190000,109.8500000,110.4100000,109.7900000,110.3225000,8563507
US1.AAPL,60,20150108,200000,110.3300000,111.5300000,110.3000000,111.4850000,8455760
US1.AAPL,60,20150108,210000,111.4850000,111.6000000,110.9100000,111.4500000,5329567
US1.AAPL,60,20150108,220000,111.4450000,112.1500000,111.4300000,111.6000000,7357791
US1.AAPL,60,20150108,230000,111.6100000,112.1000000,111.5110000,111.9400000,5058641
US1.AAPL,60,20150109,000000,111.9400000,112.1500000,111.5700000,111.8700000,8106754
US1.AAPL,60,20150109,180000,112.6700000,113.2500000,111.8300000,112.2399000,9948833
US1.AAPL,60,20150109,190000,112.2400000,112.5500000,110.6800000,111.3600000,10652484
US1.AAPL,60,20150109,200000,111.3500000,111.3600000,110.2100000,111.1400000,6597328
US1.AAPL,60,20150109,210000,111.1400000,111.7700000,111.0500000,111.1400000,3904955
US1.AAPL,60,20150109,220000,111.1500000,111.6900000,111.0700000,111.5100000,3312017
US1.AAPL,60,20150109,230000,111.5000000,112.2900000,111.3200000,112.2500000,4803331
US1.AAPL,60,20150110,000000,112.2500000,112.6600000,111.8100000,112.0000000,9284693
US1.AAPL,60,20150112,180000,112.6300000,112.6400000,110.4400000,110.5200000,7153240
US1.AAPL,60,20150112,190000,110.5300000,110.7000000,109.3600000,110.6250000,10199254
US1.AAPL,60,20150112,200000,110.6300000,110.7300000,109.8200000,110.0500000,4903884
US1.AAPL,60,20150112,210000,110.0500000,110.4600000,109.7000000,109.7300000,3729936
US1.AAPL,60,20150112,220000,109.7390000,109.7700000,108.9100000,109.1800000,5926637
US1.AAPL,60,20150112,230000,109.1800000,109.4200000,108.8000000,109.2700000,4548453
US1.AAPL,60,20150113,000000,109.2700000,109.6600000,108.8200000,109.2600000,8031757
US1.AAPL,60,20150113,180000,111.4300000,112.0300000,111.1600000,111.9800000,9609199
US1.AAPL,60,20150113,190000,111.9850000,112.8000000,111.8800000,112.6950000,9913698
US1.AAPL,60,20150113,200000,112.7000000,112.7000000,111.8100000,111.9700000,6768460
US1.AAPL,60,20150113,210000,111.9790000,112.0100000,110.9200000,111.3000000,6593062
US1.AAPL,60,20150113,220000,111.2900000,111.4700000,109.7200000,110.0210000,8139230
US1.AAPL,60,20150113,230000,110.0200000,110.2700000,108.9100000,109.7400000,9815140
US1.AAPL,60,20150114,000000,109.7500000,110.8900000,109.5100000,110.2250000,9791256
US1.AAPL,60,20150114,180000,108.9400000,110.4900000,108.9400000,109.7500000,6768092
US1.AAPL,60,20150114,190000,109.7490000,110.3490000,109.2600000,109.5900000,6846812
US1.AAPL,60,20150114,200000,109.6000000,109.6600000,108.9200000,109.1300000,5586367
US1.AAPL,60,20150114,210000,109.1490000,109.3000000,108.7300000,109.0901000,4323769
US1.AAPL,60,20150114,220000,109.1000000,109.2000000,108.5000000,108.9200000,4474060
US1.AAPL,60,20150114,230000,108.9290000,109.9800000,108.8200000,109.0914000,6338131
US1.AAPL,60,20150115,000000,109.1000000,109.9000000,109.0720000,109.7900000,7317649
US1.AAPL,60,20150115,180000,110.0000000,110.0600000,107.7600000,107.8000000,8558967
US1.AAPL,60,20150115,190000,107.7700000,108.8400000,107.5400000,108.0500000,9603133
US1.AAPL,60,20150115,200000,108.0600000,108.2300000,106.7500000,107.1300000,9354285
US1.AAPL,60,20150115,210000,107.1300000,107.4700000,106.6600000,106.9999000,5788316
US1.AAPL,60,20150115,220000,107.0000000,107.4400000,106.9700000,107.1000000,4722890
