<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GOOG,60,20150102,180000,529.1900000,531.2700000,527.2800000,530.3200000,184036
US1.GOOG,60,20150102,190000,530.3300000,530.6963000,526.5000000,526.9000000,275822
US1.GOOG,60,20150102,200000,526.9300000,527.2600000,525.4500000,526.8700000,89275
US1.GOOG,60,20150102,210000,526.7500000,527.6600000,524.5500000,524.6100000,66988
US1.GOOG,60,20150102,220000,524.7800000,525.7100000,524.1000000,524.6300000,70652
US1.GOOG,60,20150102,230000,524.7400000,525.2300000,524.2700000,524.5000000,91008
US1.GOOG,60,20150103,000000,524.6200000,525.7400000,524.3700000,524.8100000,221116
US1.GOOG,60,20150105,180000,523.2600000,524.3300000,520.1600000,520.8100000,225959
US1.GOOG,60,20150105,190000,520.7900000,520.9100000,517.8100000,518.3800000,204616
US1.GOOG,60,20150105,200000,518.3100000,519.8700000,516.2400000,519.5700000,179585
US1.GOOG,60,20150105,210000,519.5750000,519.9900000,516.4300000,516.7200000,126337
US1.GOOG,60,20150105,220000,516.8450000,517.3400000,515.3800000,515.5000000,101330
US1.GOOG,60,20150105,230000,515.4900000,515.9100000,513.2500000,514.2050000,183869
US1.GOOG,60,20150106,000000,514.2000000,515.4987000,513.0600000,513.8700000,346407
US1.GOOG,60,20150106,180000,515.0000000,516.1750000,510.0500000,510.3800000,184533
US1.GOOG,60,20150106,190000,510.2600000,511.6799000,505.0800000,505.2100000,268375
US1.GOOG,60,20150106,200000,505.2200000,506.9200000,503.6700000,504.3600000,239611
US1.GOOG,60,20150106,210000,504.2750000,504.9900000,502.2800000,504.9150000,221531
US1.GOOG,60,20150106,220000,504.9150000,504.9150000,502.1500000,504.1500000,226018
US1.GOOG,60,20150106,230000,504.0800000,505.4800000,502.3000000,504.1500000,379167
US1.GOOG,60,20150107,000000,504.2400000,506.3100000,501.0500000,501.6100000,518463
US1.GOOG,60,20150107,180000,507.0900000,507.2440000,503.2000000,504.4800000,211843
US1.GOOG,60,20150107,190000,504.4700000,505.2200000,500.0000000,500.4700000,290136
US1.GOOG,60,20150107,200000,500.8000000,503.7030000,499.6500000,503.7030000,212077
US1.GOOG,60,20150107,210000,503.5450000,504.1200000,502.2000000,502.3400000,112804
US1.GOOG,60,20150107,220000,502.4360000,503.3577000,501.2500000,501.7000000,104854
US1.GOOG,60,20150107,230000,501.8900000,502.2599000,499.8000000,499.8750000,182159
US1.GOOG,60,20150108,000000,499.9400000,501.7400000,499.9400000,501.1000000,282264
US1.GOOG,60,20150108,180000,497.9800000,498.5400000,491.0000000,494.2800000,489990
US1.GOOG,60,20150108,190000,494.1100000,502.4900000,494.0200000,502.4850000,551937
US1.GOOG,60,20150108,200000,502.4900000,503.4800000,499.6538000,500.1300000,241413
US1.GOOG,60,20150108,210000,500.2750000,501.2500000,497.3750000,501.0240000,257005
US1.GOOG,60,20150108,220000,500.9500000,501.9400000,500.5400000,501.0800000,172927
US1.GOOG,60,20150108,230000,501.1000000,502.1990000,500.7600000,501.9500000,157119
US1.GOOG,60,20150109,000000,501.9500000,503.4600000,501.6600000,502.6800000,306074
US1.GOOG,60,20150109,180000,504.7500000,504.9200000,498.5500000,499.3200000,228882
US1.GOOG,60,20150109,190000,499.3700000,500.2900000,494.9510000,496.8700000,300742
US1.GOOG,60,20150109,200000,496.8000000,497.3500000,494.7900000,497.3500000,217241
US1.GOOG,60,20150109,210000,497.2700000,499.5100000,495.8500000,495.9900000,157771
US1.GOOG,60,20150109,220000,495.7200000,497.6100000,495.6100000,496.7050000,103546
US1.GOOG,60,20150109,230000,496.5400000,496.7100000,495.5200000,496.1100000,125035
US1.GOOG,60,20150110,000000,496.0900000,498.6250000,495.6900000,496.1600000,286986
US1.GOOG,60,20150112,180000,494.9300000,495.9760000,489.0000000,489.2989000,392579
US1.GOOG,60,20150112,190000,489.1100000,491.8100000,487.5600000,491.6000000,429108
US1.GOOG,60,20150112,200000,491.6700000,492.4450000,490.1000000,490.5100000,128537
US1.GOOG,60,20150112,210000,490.3500000,491.1400000,490.0000000,490.5200000,126524
US1.GOOG,60,20150112,220000,490.5100000,490.6800000,489.1600000,490.1001000,120761
US1.GOOG,60,20150112,230000,490.1480000,492.7967000,490.1480000,492.5400000,149280
