<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GOOGL,60,20150102,180000,532.6000000,535.8000000,531.5450000,534.4050000,129727
US1.GOOGL,60,20150102,190000,534.5000000,535.1100000,530.0000000,530.4150000,205501
US1.GOOGL,60,20150102,200000,530.6300000,531.1700000,529.0000000,530.6800000,103489
US1.GOOGL,60,20150102,210000,530.7100000,531.6400000,528.2000000,528.3100000,72824
US1.GOOGL,60,20150102,220000,528.4600000,529.3700000,527.8800000,528.6600000,73833
US1.GOOGL,60,20150102,230000,528.7500000,529.4700000,528.4200000,528.6200000,74779
US1.GOOGL,60,20150103,000000,528.6000000,530.1400000,528.4200000,529.5500000,167211
US1.GOOGL,60,20150105,180000,527.0100000,527.9899000,523.3500000,523.9900000,185385
US1.GOOGL,60,20150105,190000,523.7300000,524.4000000,521.0300000,521.6200000,219807
US1.GOOGL,60,20150105,200000,521.7300000,523.1500000,519.3175000,522.8200000,172439
US1.GOOGL,60,20150105,210000,522.8100000,523.0700000,519.7810000,520.3500000,103101
US1.GOOGL,60,20150105,220000,520.2400000,521.5500000,519.2600000,519.7800000,144639
US1.GOOGL,60,20150105,230000,519.7700000,520.1700000,517.7500000,518.6050000,188984
US1.GOOGL,60,20150106,000000,518.5500000,520.9600000,517.7600000,519.2400000,285462
US1.GOOGL,60,20150106,180000,520.5000000,521.2100000,515.1100000,515.5700000,160757
US1.GOOGL,60,20150106,190000,515.6050000,516.0300000,509.2600000,509.4450000,321645
US1.GOOGL,60,20150106,200000,509.3000000,510.9200000,507.3001000,507.9000000,247302
US1.GOOGL,60,20150106,210000,508.0500000,508.7460000,506.0101000,508.3480000,194362
US1.GOOGL,60,20150106,220000,508.5000000,508.5000000,505.5500000,507.2280000,240597
US1.GOOGL,60,20150106,230000,507.2839000,508.9000000,505.8100000,507.7130000,319780
US1.GOOGL,60,20150107,000000,507.5800000,510.6200000,506.3600000,506.8900000,393436
US1.GOOGL,60,20150107,180000,510.9500000,511.4900000,507.5100000,509.9600000,195279
US1.GOOGL,60,20150107,190000,509.8500000,510.4500000,503.6500000,504.4600000,386693
US1.GOOGL,60,20150107,200000,504.4400000,508.3700000,503.8600000,508.3500000,261985
US1.GOOGL,60,20150107,210000,508.4300000,508.9950000,507.0840000,507.3100000,116560
US1.GOOGL,60,20150107,220000,507.3700000,508.3500000,505.8400000,506.4200000,140070
US1.GOOGL,60,20150107,230000,506.4200000,507.0100000,504.7700000,504.8125000,229221
US1.GOOGL,60,20150108,000000,504.9600000,506.3800000,504.7500000,505.1500000,353611
US1.GOOGL,60,20150108,180000,501.5100000,501.8000000,495.0200000,497.7100000,656633
US1.GOOGL,60,20150108,190000,497.5900000,506.2500000,497.5900000,506.2000000,639668
US1.GOOGL,60,20150108,200000,506.5500000,507.4900000,503.5500000,504.0900000,280599
US1.GOOGL,60,20150108,210000,504.2500000,505.9200000,502.1100000,505.8050000,276406
US1.GOOGL,60,20150108,220000,505.7300000,506.7100000,505.2000000,505.5900000,147041
US1.GOOGL,60,20150108,230000,505.5300000,506.5345000,505.1600000,506.3500000,142200
US1.GOOGL,60,20150109,000000,506.3500000,507.5000000,506.0740000,506.8500000,357215
US1.GOOGL,60,20150109,180000,508.1800000,508.6000000,502.3100000,503.3300000,194584
US1.GOOGL,60,20150109,190000,503.4000000,504.3400000,499.0100000,500.6299000,225601
US1.GOOGL,60,20150109,200000,500.5200000,502.1700000,498.6500000,501.9700000,192071
US1.GOOGL,60,20150109,210000,501.9700000,503.9900000,499.8600000,499.8600000,130903
US1.GOOGL,60,20150109,220000,499.8600000,501.7932000,499.5900000,500.3400000,118126
US1.GOOGL,60,20150109,230000,500.3400000,500.5300000,499.3500000,499.6910000,159346
US1.GOOGL,60,20150110,000000,499.7100000,502.8700000,499.6900000,500.6600000,292565
US1.GOOGL,60,20150112,180000,499.2400000,500.2800000,492.7000000,492.9800000,420430
US1.GOOGL,60,20150112,190000,492.8000000,495.9899000,490.9100000,495.8050000,401891
US1.GOOGL,60,20150112,200000,495.7400000,496.5000000,493.7010000,493.8800000,218921
US1.GOOGL,60,20150112,210000,493.9400000,494.6900000,493.5400000,494.1600000,139751
US1.GOOGL,60,20150112,220000,494.1800000,494.4100000,493.0400000,493.7500000,159906
US1.GOOGL,60,20150112,230000,493.9000000,496.8300000,493.8000000,496.2100000,197612
US1.GOOGL,60,20150113,000000,496.2100000,497.8000000,495.7500000,497.0700000,379851
US1.GOOGL,60,20150113,180000,502.5700000,507.6000000,501.4100000,506.2100000,335371
US1.GOOGL,60,20150113,190000,506.5200000,508.6000000,505.1900000,508.1700000,333267
US1.GOOGL,60,20150113,200000,508.0700000,508.1900000,506.7400000,507.5200000,207846
US1.GOOGL,60,20150113,210000,507.4000000,507.6500000,505.6400000,506.7799000,148250
US1.GOOGL,60,20150113,220000,506.7800000,508.3900000,500.2600000,501.5480000,262880
US1.GOOGL,60,20150113,230000,501.4800000,501.8900000,497.2600000,498.5000000,323268
US1.GOOGL,60,20150114,000000,498.6900000,504.8600000,498.3600000,501.7600000,431840
US1.GOOGL,60,20150114,180000,500.4200000,507.1800000,498.1600000,507.1300000,317273
US1.GOOGL,60,20150114,190000,506.8900000,508.2600000,502.2600000,504.1400000,355022
US1.GOOGL,60,20150114,200000,504.1900000,505.5150000,502.7200000,503.7200000,215978
US1.GOOGL,60,20150114,210000,503.5350000,505.4400000,502.2600000,505.4400000,212899
US1.GOOGL,60,20150114,220000,505.3500000,505.6000000,502.7800000,504.7200000,132891
US1.GOOGL,60,20150114,230000,504.6100000,506.4000000,503.6300000,504.1100000,210430
US1.GOOGL,60,20150115,000000,504.2600000,507.0000000,504.2000000,505.8000000,341324
US1.GOOGL,60,20150115,180000,509.3200000,509.9900000,502.0100000,503.0200000,283530
US1.GOOGL,60,20150115,190000,502.9900000,507.0000000,502.0100000,504.2400000,223098
US1.GOOGL,60,20150115,200000,504.4800000,507.5000000,503.7600000,506.4500000,222017
US1.GOOGL,60,20150115,210000,506.2500000,506.6000000,504.1200000,505.1200000,167319
US1.GOOGL,60,20150115,220000,504.8900000,506.5100000,504.6200000,504.8300000,193374
US1.GOOGL,60,20150115,230000,504.9250000,506.8950000,504.1600000,506.2600000,204230
US1.GOOGL,60,20150116,000000,506.1425000,506.6700000,503.2000000,504.0900000,504784
US1.GOOGL,60,20150116,180000,503.3500000,507.5550000,503.0900000,505.1600000,332117
US1.GOOGL,60,20150116,190000,505.2100000,507.1100000,503.4600000,505.8200000,339987
US1.GOOGL,60,20150116,200000,505.9300000,507.0000000,504.8900000,505.7400000,144795
US1.GOOGL,60,20150116,210000,505.8500000,509.2300000,505.4900000,507.9350000,138092
US1.GOOGL,60,20150116,220000,508.0000000,508.5100000,506.9800000,508.3300000,178531
US1.GOOGL,60,20150116,230000,508.4000000,509.6500000,508.4000000,509.4900000,222521
US1.GOOGL,60,20150117,000000,509.4100000,510.8500000,508.5905000,510.5000000,342958
US1.GOOGL,60,20150120,180000,512.7700000,515.6100000,510.0310000,510.6750000,271364
US1.GOOGL,60,20150120,190000,510.4800000,513.9100000,509.9200000,513.2500000,318422
US1.GOOGL,60,20150120,200000,513.2500000,513.7300000,509.5300000,511.0925000,188449
US1.GOOGL,60,20150120,210000,511.2100000,511.9100000,509.3700000,511.3350000,124006
US1.GOOGL,60,20150120,220000,511.0700000,512.5000000,510.5100000,511.7800000,140324
US1.GOOGL,60,20150120,230000,511.7700000,512.6000000,510.7410000,511.5500000,166415
US1.GOOGL,60,20150121,000000,511.6600000,512.2500000,509.6600000,509.9300000,245023
US1.GOOGL,60,20150121,180000,510.5300000,512.9200000,509.5900000,511.9000000,248972
US1.GOOGL,60,20150121,190000,511.9500000,516.9900000,511.5100000,516.7900000,221766
US1.GOOGL,60,20150121,200000,517.0000000,518.7600000,516.2800000,516.9400000,193311
US1.GOOGL,60,20150121,210000,516.8300000,517.0200000,514.4701000,515.0900000,119270
US1.GOOGL,60,20150121,220000,515.0500000,516.2100000,514.3000000,515.3900000,139338
US1.GOOGL,60,20150121,230000,515.1920000,518.6800000,514.9900000,518.5300000,163234
US1.GOOGL,60,20150122,000000,518.6000000,521.8510000,518.1200000,520.3900000,423258
US1.GOOGL,60,20150122,180000,523.0800000,525.9400000,521.9100000,523.4200000,291089
US1.GOOGL,60,20150122,190000,523.4700000,532.2400000,522.6000000,532.2400000,398269
US1.GOOGL,60,20150122,200000,532.1300000,532.3800000,529.5744000,531.0500000,247507
US1.GOOGL,60,20150122,210000,531.1300000,533.0900000,530.7300000,532.2100000,141192
US1.GOOGL,60,20150122,220000,532.2100000,533.2550000,531.7700000,532.7200000,166367
US1.GOOGL,60,20150122,230000,532.8800000,537.7700000,532.3300000,537.3100000,250133
US1.GOOGL,60,20150123,000000,537.2900000,538.8400000,536.6000000,537.2400000,449907
US1.GOOGL,60,20150123,180000,538.0300000,543.0000000,535.7508000,541.2100000,342813
US1.GOOGL,60,20150123,190000,541.0600000,543.8600000,540.8600000,543.8600000,331478
US1.GOOGL,60,20150123,200000,543.8500000,545.4100000,542.8400000,543.6800000,215844
US1.GOOGL,60,20150123,210000,543.8399000,544.6300000,542.8100000,543.5900000,110222
US1.GOOGL,60,20150123,220000,543.4900000,543.9580000,542.3800000,543.8600000,112816
US1.GOOGL,60,20150123,230000,543.8900000,544.5500000,541.4600000,541.4600000,160997
US1.GOOGL,60,20150124,000000,541.5860000,542.0400000,540.5400000,541.9200000,256088
US1.GOOGL,60,20150126,180000,541.5000000,541.5000000,535.3600000,537.9800000,197959
US1.GOOGL,60,20150126,190000,537.8900000,538.4300000,532.1800000,532.1800000,210212
US1.GOOGL,60,20150126,200000,532.4700000,535.8300000,532.0700000,535.7450000,148139
US1.GOOGL,60,20150126,210000,535.8300000,536.3999000,534.0000000,535.5300000,100182
US1.GOOGL,60,20150126,220000,535.6100000,539.3799000,535.1700000,537.3200000,106293
US1.GOOGL,60,20150126,230000,537.4100000,538.0000000,535.8850000,536.1600000,121887
US1.GOOGL,60,20150127,000000,536.1600000,537.2300000,535.3100000,536.7100000,158077
US1.GOOGL,60,20150127,180000,531.4000000,532.7800000,527.4800000,531.0800000,258998
US1.GOOGL,60,20150127,190000,529.9800000,530.3000000,521.4400000,524.7944000,261835
US1.GOOGL,60,20150127,200000,524.7100000,525.6000000,522.7400000,523.3000000,169477
US1.GOOGL,60,20150127,210000,523.3950000,524.8700000,523.2600000,524.3700000,107482
US1.GOOGL,60,20150127,220000,524.4900000,526.0500000,523.6700000,524.5100000,113407
US1.GOOGL,60,20150127,230000,524.6700000,526.7400000,524.5180000,524.6900000,111076
US1.GOOGL,60,20150128,000000,524.6500000,525.3600000,520.8612000,521.4900000,287795
US1.GOOGL,60,20150128,180000,525.0000000,525.6900000,518.1200000,519.6300000,198795
US1.GOOGL,60,20150128,190000,519.3400000,522.4100000,518.0200000,518.7900000,252776
US1.GOOGL,60,20150128,200000,518.7850000,520.4900000,517.3600000,518.7100000,119679
US1.GOOGL,60,20150128,210000,518.7400000,522.5000000,518.7400000,521.4700000,82545
US1.GOOGL,60,20150128,220000,521.2000000,522.3200000,520.5000000,521.4300000,73443
US1.GOOGL,60,20150128,230000,521.7900000,523.6800000,517.6000000,517.8300000,150875
US1.GOOGL,60,20150129,000000,517.9700000,518.8400000,512.3500000,512.4300000,312538
US1.GOOGL,60,20150129,180000,512.9000000,513.1800000,503.4800000,507.1500000,291786
US1.GOOGL,60,20150129,190000,507.0200000,507.8800000,505.5801000,506.6280000,427347
US1.GOOGL,60,20150129,200000,506.6300000,508.9400000,504.6500000,506.8100000,231985
US1.GOOGL,60,20150129,210000,506.9300000,507.7400000,505.9000000,506.7950000,133092
US1.GOOGL,60,20150129,220000,506.9100000,509.7000000,506.0800000,508.6400000,149597
US1.GOOGL,60,20150129,230000,508.9000000,512.4500000,508.8600000,511.8500000,276254
US1.GOOGL,60,20150130,000000,511.8500000,515.1900000,509.8100000,513.4600000,686025
US1.GOOGL,60,20150130,180000,519.0000000,529.8700000,518.1800000,528.8170000,786432
US1.GOOGL,60,20150130,190000,528.6750000,533.2600000,526.2600000,533.0200000,781651
US1.GOOGL,60,20150130,200000,533.2100000,537.8000000,531.6500000,537.6847000,528666
US1.GOOGL,60,20150130,210000,537.7800000,540.2450000,536.5290000,537.5900000,510123
US1.GOOGL,60,20150130,220000,537.6000000,540.4900000,536.1500000,539.9000000,400186
US1.GOOGL,60,20150130,230000,540.0400000,543.1000000,537.6600000,539.8700000,540557
US1.GOOGL,60,20150131,000000,540.0000000,541.0500000,537.3400000,538.1900000,894023
US1.GOOGL,60,20150202,180000,534.3900000,536.5000000,525.2000000,526.8600000,478527
US1.GOOGL,60,20150202,190000,526.5500000,526.6700000,521.7200000,523.0900000,590682
US1.GOOGL,60,20150202,200000,523.0100000,530.4700000,522.8700000,529.5300000,415296
US1.GOOGL,60,20150202,210000,529.4500000,530.1200000,526.5000000,526.6400000,166056
US1.GOOGL,60,20150202,220000,526.8900000,527.7100000,522.8500000,523.6200000,211003
US1.GOOGL,60,20150202,230000,523.4850000,527.0250000,523.1600000,523.6150000,205973
US1.GOOGL,60,20150203,000000,523.5920000,532.2100000,523.2600000,532.0600000,585609
US1.GOOGL,60,20150203,180000,529.9400000,537.4500000,529.9400000,536.4300000,313272
US1.GOOGL,60,20150203,190000,536.0400000,536.2900000,526.8100000,529.1500000,415883
US1.GOOGL,60,20150203,200000,528.9100000,532.8300000,528.7700000,529.4900000,236535
US1.GOOGL,60,20150203,210000,529.4200000,533.0900000,528.6501000,531.9300000,147380
US1.GOOGL,60,20150203,220000,531.9300000,534.0920000,530.2550000,534.0200000,108271
US1.GOOGL,60,20150203,230000,534.0200000,534.4900000,530.7701000,533.8100000,177292
US1.GOOGL,60,20150204,000000,533.8100000,534.3800000,532.3700000,533.2900000,301898
US1.GOOGL,60,20150204,180000,533.1400000,536.7460000,531.2100000,532.4400000,162018
US1.GOOGL,60,20150204,190000,532.4300000,533.4049000,529.2400000,530.2100000,157093
US1.GOOGL,60,20150204,200000,529.6500000,533.0600000,529.6500000,531.8000000,145688
US1.GOOGL,60,20150204,210000,531.8200000,532.0100000,529.7000000,530.4909000,111377
