<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.TSLA,60,20150102,180000,222.8700000,223.2500000,218.1000000,218.9000000,607533
US1.TSLA,60,20150102,190000,218.8100000,219.0000000,213.2600000,215.9000000,1236171
US1.TSLA,60,20150102,200000,215.9000000,215.9400000,213.9200000,215.5400000,430534
US1.TSLA,60,20150102,210000,215.5000000,216.8500000,215.0000000,215.8300000,410296
US1.TSLA,60,20150102,220000,215.9330000,216.6660000,215.2900000,215.9700000,280002
US1.TSLA,60,20150102,230000,215.9600000,218.2800000,215.9600000,218.0800000,332427
US1.TSLA,60,20150103,000000,218.0904000,220.0000000,217.0850000,219.1900000,646863
US1.TSLA,60,20150105,180000,214.5500000,216.5000000,211.2000000,213.1700000,977685
US1.TSLA,60,20150105,190000,213.0000000,213.3899000,210.4000000,210.4200000,898243
US1.TSLA,60,20150105,200000,210.5000000,212.1000000,209.7700000,210.1725000,624505
US1.TSLA,60,20150105,210000,210.2450000,210.4756000,207.1626000,207.4800000,558976
US1.TSLA,60,20150105,220000,207.5799000,209.6300000,207.4000000,208.9000000,441690
US1.TSLA,60,20150105,230000,208.9100000,208.9900000,207.7600000,208.4200000,260509
US1.TSLA,60,20150106,000000,208.4300000,210.8800000,208.1400000,210.0100000,815912
US1.TSLA,60,20150106,180000,210.0600000,212.4900000,208.5100000,208.5500000,724197
US1.TSLA,60,20150106,190000,208.5300000,212.2200000,208.3200000,208.5500000,938505
US1.TSLA,60,20150106,200000,208.5299000,208.5450000,206.2000000,206.3500000,703125
US1.TSLA,60,20150106,210000,206.4900000,207.9400000,204.2100000,207.7400000,709274
US1.TSLA,60,20150106,220000,207.7500000,207.9200000,204.6800000,207.3760000,582059
US1.TSLA,60,20150106,230000,207.3600000,211.9600000,207.0200000,211.1101000,703430
US1.TSLA,60,20150107,000000,211.1200000,214.2000000,210.7310000,211.1900000,1022919
US1.TSLA,60,20150107,180000,213.3500000,214.7800000,212.1200000,214.3680000,433604
US1.TSLA,60,20150107,190000,214.2500000,214.6300000,209.7800000,210.3400000,693590
US1.TSLA,60,20150107,200000,210.4000000,212.5000000,210.0000000,212.2800000,395536
US1.TSLA,60,20150107,210000,212.2000000,212.7300000,211.0100000,211.0544000,196113
US1.TSLA,60,20150107,220000,211.3300000,211.3600000,209.8200000,210.6800000,230285
US1.TSLA,60,20150107,230000,210.7600000,211.7100000,210.1370000,211.3900000,283828
US1.TSLA,60,20150108,000000,211.4200000,211.7300000,210.3908000,210.8100000,348918
US1.TSLA,60,20150108,180000,212.8100000,213.4700000,211.0900000,212.2643000,481385
US1.TSLA,60,20150108,190000,212.1000000,213.7999000,211.8000000,212.3700000,464930
US1.TSLA,60,20150108,200000,212.5700000,213.5000000,211.6100000,212.1000000,356004
US1.TSLA,60,20150108,210000,212.0601000,212.3683000,210.6300000,211.6825000,280673
US1.TSLA,60,20150108,220000,211.6100000,212.5700000,210.5090000,210.8815000,193078
US1.TSLA,60,20150108,230000,210.8400000,211.6500000,210.6500000,211.1500000,287976
US1.TSLA,60,20150109,000000,211.2000000,211.3800000,210.0100000,210.5500000,858618
US1.TSLA,60,20150109,180000,208.8000000,209.9800000,205.3300000,205.7160000,861144
US1.TSLA,60,20150109,190000,205.7850000,207.7800000,205.5000000,206.6440000,642430
US1.TSLA,60,20150109,200000,206.6480000,207.7000000,205.1500000,207.3700000,496747
US1.TSLA,60,20150109,210000,207.3500000,208.1700000,205.5000000,205.6500000,332319
US1.TSLA,60,20150109,220000,205.6600000,207.1000000,205.1900000,205.1900000,463617
US1.TSLA,60,20150109,230000,205.1913000,207.2100000,204.9600000,206.0500000,620282
US1.TSLA,60,20150110,000000,206.0900000,207.1500000,205.9500000,206.6000000,543342
US1.TSLA,60,20150112,180000,203.4400000,204.4700000,200.3400000,200.6900000,1001664
US1.TSLA,60,20150112,190000,200.6800000,202.1000000,199.7600000,200.6601000,1330101
US1.TSLA,60,20150112,200000,200.7400000,201.2199000,199.2500000,199.9460000,642477
US1.TSLA,60,20150112,210000,199.9500000,202.3000000,199.9400000,200.6350000,546145
US1.TSLA,60,20150112,220000,200.5100000,201.5000000,199.5500000,201.3950000,347315
US1.TSLA,60,20150112,230000,201.4200000,201.9800000,200.6500000,200.8700000,348723
US1.TSLA,60,20150113,000000,200.9400000,203.0000000,200.1500000,202.2100000,591302
US1.TSLA,60,20150113,180000,203.3200000,206.8000000,203.0000000,205.8999000,626780
US1.TSLA,60,20150113,190000,205.6930000,207.6100000,205.6930000,205.9672000,479065
US1.TSLA,60,20150113,200000,205.9900000,206.3000000,204.2000000,204.5600000,373194
US1.TSLA,60,20150113,210000,204.5000000,205.7800000,203.9000000,205.2100000,328567
US1.TSLA,60,20150113,220000,205.4300000,205.6500000,201.5100000,202.1901000,448389
US1.TSLA,60,20150113,230000,202.1300000,203.7000000,200.9110000,202.3598000,409658
US1.TSLA,60,20150114,000000,202.4799000,205.4700000,202.0600000,204.3000000,641166
US1.TSLA,60,20150114,180000,185.8900000,192.0000000,185.0000000,191.7000000,2965774
US1.TSLA,60,20150114,190000,191.6600000,195.2000000,190.5500000,191.8720000,2175663
US1.TSLA,60,20150114,200000,191.8300000,191.9400000,189.6700000,190.1640000,928313
US1.TSLA,60,20150114,210000,190.2000000,192.4100000,189.9400000,192.2416000,638785
US1.TSLA,60,20150114,220000,192.3999000,192.6200000,189.1900000,190.2600000,859578
US1.TSLA,60,20150114,230000,190.1600000,191.4700000,189.9400000,191.0501000,629876
US1.TSLA,60,20150115,000000,191.1400000,193.0000000,191.0510000,192.5900000,981926
US1.TSLA,60,20150115,180000,194.4900000,195.7499000,190.0000000,190.3200000,867871
US1.TSLA,60,20150115,190000,190.3200000,194.8900000,190.1000000,193.4200000,1091127
US1.TSLA,60,20150115,200000,193.5000000,194.0000000,192.0500000,192.7900000,456257
US1.TSLA,60,20150115,210000,192.7350000,193.1800000,190.8000000,191.1610000,363409
US1.TSLA,60,20150115,220000,191.1100000,192.4100000,191.0000000,191.8501000,351210
US1.TSLA,60,20150115,230000,191.8500000,193.9000000,191.6600000,193.3100000,516390
US1.TSLA,60,20150116,000000,193.2000000,193.4450000,190.9700000,191.7400000,855074
US1.TSLA,60,20150116,180000,190.7000000,192.6400000,189.6500000,191.4800000,596080
US1.TSLA,60,20150116,190000,191.6000000,194.4900000,191.3500000,193.1100000,701098
US1.TSLA,60,20150116,200000,193.1000000,193.5300000,191.1200000,191.4800000,370581
US1.TSLA,60,20150116,210000,191.4300000,192.6600000,191.0900000,192.2942000,214820
US1.TSLA,60,20150116,220000,192.2180000,192.4700000,191.7200000,192.2100000,220494
US1.TSLA,60,20150116,230000,192.2500000,192.2800000,191.3800000,192.1200000,276176
US1.TSLA,60,20150117,000000,191.9800000,193.4100000,191.6600000,193.0200000,641843
US1.TSLA,60,20150120,180000,193.8700000,194.1199000,189.9700000,190.4000000,534718
US1.TSLA,60,20150120,190000,190.3998000,190.7600000,187.0400000,187.6400000,896453
US1.TSLA,60,20150120,200000,187.6000000,189.8000000,187.4100000,187.9200000,449331
US1.TSLA,60,20150120,210000,187.9800000,189.3300000,187.8600000,189.0900000,283220
US1.TSLA,60,20150120,220000,189.0800000,190.3000000,188.4100000,189.6200000,481342
US1.TSLA,60,20150120,230000,189.5700000,192.9500000,189.4000000,192.1100000,587245
US1.TSLA,60,20150121,000000,192.0500000,192.4900000,191.5000000,191.8900000,451347
US1.TSLA,60,20150121,180000,189.5500000,194.5000000,189.5100000,192.3800000,643496
US1.TSLA,60,20150121,190000,192.3600000,197.1900000,192.2100000,196.9600000,914339
US1.TSLA,60,20150121,200000,196.8800000,197.1120000,195.0810000,196.3600000,390494
US1.TSLA,60,20150121,210000,196.3100000,198.6800000,196.3100000,197.5800000,445814
US1.TSLA,60,20150121,220000,197.5800000,197.8500000,195.5500000,195.7800000,339048
US1.TSLA,60,20150121,230000,195.8220000,197.3200000,195.3200000,197.0276000,335600
US1.TSLA,60,20150122,000000,197.0200000,197.3900000,196.3500000,196.5600000,444429
US1.TSLA,60,20150122,180000,197.0000000,197.9699000,195.2000000,196.8000000,431334
US1.TSLA,60,20150122,190000,196.6300000,198.4000000,195.8400000,197.6900000,501123
US1.TSLA,60,20150122,200000,197.6300000,200.0100000,196.6790000,199.9800000,498051
US1.TSLA,60,20150122,210000,199.9600000,202.7100000,199.9400000,201.3000000,764743
US1.TSLA,60,20150122,220000,201.1900000,202.0000000,200.5000000,201.3512000,278412
US1.TSLA,60,20150122,230000,201.3500000,202.9200000,201.0510000,202.7600000,318242
US1.TSLA,60,20150123,000000,202.7200000,203.2400000,201.3100000,201.6200000,717561
US1.TSLA,60,20150123,180000,200.2900000,202.4990000,198.3300000,201.5545000,499150
US1.TSLA,60,20150123,190000,201.5100000,203.5000000,200.0000000,200.7600000,663453
US1.TSLA,60,20150123,200000,200.7200000,202.2000000,200.6601000,201.7300000,271892
US1.TSLA,60,20150123,210000,201.7100000,202.0500000,201.0100000,201.8700000,183159
US1.TSLA,60,20150123,220000,201.9000000,203.2000000,201.2600000,203.1750000,290739
US1.TSLA,60,20150123,230000,203.1900000,203.1900000,202.0000000,202.0500000,256441
US1.TSLA,60,20150124,000000,202.0500000,202.0600000,200.4200000,201.2900000,653339
US1.TSLA,60,20150126,180000,201.8300000,204.5600000,201.0500000,203.7100000,569410
US1.TSLA,60,20150126,190000,203.7900000,208.6200000,203.4800000,207.2500000,820195
US1.TSLA,60,20150126,200000,207.1200000,207.4900000,205.9100000,206.8100000,365649
US1.TSLA,60,20150126,210000,206.8200000,207.1900000,205.4500000,206.0600000,224602
US1.TSLA,60,20150126,220000,206.2700000,207.3100000,205.0600000,207.0600000,256588
US1.TSLA,60,20150126,230000,207.1500000,207.5000000,206.2000000,206.3211000,195408
US1.TSLA,60,20150127,000000,206.3000000,207.1700000,206.0000000,206.5500000,345134
US1.TSLA,60,20150127,180000,204.4200000,207.4400000,203.6600000,205.8960000,492765
US1.TSLA,60,20150127,190000,205.8000000,207.5500000,203.3000000,204.7500000,595028
US1.TSLA,60,20150127,200000,204.7900000,207.2000000,204.4300000,205.8600000,270820
US1.TSLA,60,20150127,210000,205.9300000,207.4900000,205.6480000,206.9899000,215007
US1.TSLA,60,20150127,220000,206.8899000,208.0300000,206.4600000,206.6554000,233042
US1.TSLA,60,20150127,230000,206.5700000,207.7120000,206.4300000,206.9600000,117508
US1.TSLA,60,20150128,000000,206.9899000,207.0990000,205.3400000,206.0300000,395819
US1.TSLA,60,20150128,180000,206.1100000,206.3680000,203.6000000,204.4000000,330636
US1.TSLA,60,20150128,190000,204.1700000,204.5120000,200.5100000,201.2600000,690223
US1.TSLA,60,20150128,200000,201.2500000,203.4800000,201.0200000,202.5400000,316646
US1.TSLA,60,20150128,210000,202.4500000,203.5900000,202.4300000,203.2300000,132390
US1.TSLA,60,20150128,220000,203.0000000,203.1970000,201.2320000,201.2320000,160051
US1.TSLA,60,20150128,230000,201.2850000,202.1500000,200.2500000,201.7799000,426134
US1.TSLA,60,20150129,000000,201.7100000,202.1000000,198.4200000,199.2250000,622836
US1.TSLA,60,20150129,180000,201.0700000,201.4400000,196.5000000,199.2300000,469507
US1.TSLA,60,20150129,190000,199.0200000,200.4000000,198.2800000,200.2375000,440784
US1.TSLA,60,20150129,200000,200.2200000,202.9800000,200.0000000,201.6700000,356488
US1.TSLA,60,20150129,210000,201.7500000,202.9500000,201.2300000,202.7700000,270322
US1.TSLA,60,20150129,220000,202.9000000,205.5000000,202.7300000,204.3400000,446517
US1.TSLA,60,20150129,230000,204.3600000,205.3800000,204.0300000,204.8000000,329859
US1.TSLA,60,20150130,000000,204.7510000,205.9800000,204.6510000,205.1580000,494290
US1.TSLA,60,20150130,180000,203.9600000,207.4700000,203.2710000,205.0000000,369709
US1.TSLA,60,20150130,190000,205.0000000,205.8492000,203.0000000,204.1500000,387875
US1.TSLA,60,20150130,200000,204.3370000,205.7200000,203.7900000,205.3000000,228308
US1.TSLA,60,20150130,210000,205.4000000,206.3800000,204.6400000,204.8800000,231555
US1.TSLA,60,20150130,220000,204.8630000,205.1800000,203.3900000,204.3700000,224230
US1.TSLA,60,20150130,230000,204.3300000,207.1000000,204.0445000,205.2600000,461028
US1.TSLA,60,20150131,000000,205.2804000,205.7400000,203.1000000,203.6000000,583030
US1.TSLA,60,20150202,180000,203.9700000,205.9300000,203.3600000,204.7000000,308433
US1.TSLA,60,20150202,190000,204.6700000,211.2600000,203.3000000,210.8500000,1111134
US1.TSLA,60,20150202,200000,210.7500000,211.9499000,209.3400000,209.7100000,675732
US1.TSLA,60,20150202,210000,209.6900000,210.6500000,209.0100000,209.2700000,337424
US1.TSLA,60,20150202,220000,209.1801000,209.9200000,208.0200000,208.2500000,289703
US1.TSLA,60,20150202,230000,208.2300000,210.0000000,208.1800000,209.1700000,267597
US1.TSLA,60,20150203,000000,209.1700000,211.7500000,208.1200000,211.0100000,608150
US1.TSLA,60,20150203,180000,213.2200000,214.5000000,211.2700000,213.5800000,520051
US1.TSLA,60,20150203,190000,213.5300000,216.1000000,213.1500000,215.1500000,730495
US1.TSLA,60,20150203,200000,215.0500000,217.4500000,214.8600000,215.4800000,672194
US1.TSLA,60,20150203,210000,215.3900000,216.8474000,215.3200000,216.5262000,245811
US1.TSLA,60,20150203,220000,216.6300000,218.9600000,216.2440000,218.4100000,478238
US1.TSLA,60,20150203,230000,218.4900000,219.5500000,217.8400000,219.5300000,531323
US1.TSLA,60,20150204,000000,219.5899000,220.3700000,218.2400000,218.3600000,948873
US1.TSLA,60,20150204,180000,218.2900000,221.4790000,217.8500000,219.5800000,545654
US1.TSLA,60,20150204,190000,219.7000000,220.7300000,216.8000000,217.2200000,629869
US1.TSLA,60,20150204,200000,217.2100000,218.8500000,216.9000000,218.0500000,308951
US1.TSLA,60,20150204,210000,218.2200000,218.7600000,217.0000000,217.7370000,181328
US1.TSLA,60,20150204,220000,217.8530000,219.2500000,217.5700000,218.5800000,253399
US1.TSLA,60,20150204,230000,218.5800000,219.3800000,217.7700000,219.0300000,197419
US1.TSLA,60,20150205,000000,219.0500000,220.7300000,217.6200000,218.5400000,584464
US1.TSLA,60,20150205,180000,219.8800000,222.6700000,219.6380000,221.9900000,491140
US1.TSLA,60,20150205,190000,221.9600000,225.4800000,221.9500000,224.9700000,887072
US1.TSLA,60,20150205,200000,224.8600000,224.8600000,222.5300000,222.9299000,403637
US1.TSLA,60,20150205,210000,222.7900000,223.6600000,222.2000000,222.6300000,267772
US1.TSLA,60,20150205,220000,222.7000000,223.4500000,221.1700000,221.2900000,266946
